지역, 온도, 습도
강릉,26.3,74
강진군,29.5,77
강화,21.3,96
거제,26.8,87
거창,21.8,87
경주시,27.5,72
고산,28.2,98
고창,22.7,91
고창군,22.8,88
고흥,28.9,76
광양시,29.3,75
광주,27.2,98
구미,21.1,94
군산,21.4,99
금산,20.0,97
김해시,24.7,99
남원,25.0,92
남해,28.8,72
대관령,19.8,82
대구,23.7,90
대전,20.7,95
동두천,21.8,93
동해,25.0,85
목포,29.2,72
문경,22.3,85
밀양,27.1,68
백령도,22.8,84
보령,20.4,88
보성군,30.2,80
보은,21.1,93
봉화,20.5,86
부산,26.6,90
부안,21.5,98
부여,20.6,96
북강릉,23.4,74
북창원,29.6,80
북춘천,22.5,84
산청,23.6,81
상주,22.1,98
서귀포,27.7,93
서산,20.2,98
서울,22.8,79
성산,29.7,76
세종,20.3,90
속초,26.7,45
수원,22.7,87
순창군,25.0,95
순천,25.5,94
안동,23.0,91
양산시,25.0,97
양평,22.5,83
여수,28.5,78
영광군,22.8,91
영덕,26.7,77
영월,23.3,90
영주,22.2,100
영천,23.7,90
완도,28.2,79
울릉도,28.7,62
울산,27.8,71
울진,25.5,84
원주,20.8,78
의령군,28.5,73
의성,22.3,92
이천,22.5,87
인제,22.5,75
인천,22.2,64
임실,22.5,99
장수,23.2,97
장흥,29.4,73
전주,21.9,95
정선군,23.3,89
정읍,22.1,95
제주,32.0,52
제천,23.1,97
진도군,28.2,81
진주,26.9,84
창원,27.9,80
천안,19.8,99
철원,22.5,99
청송군,24.0,93
청주,20.7,89
추풍령,20.3,88
춘천,22.7,69
충주,23.7,91
태백,21.3,82
통영,27.5,88
파주,22.1,88
포항,27.2,73
함양군,22.9,83
합천,23.7,87
해남,28.5,80
홍성,19.4,96
홍천,22.1,78
흑산도,27.2,99
